story_title,story_url,text,label,notes
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"Even with coding agents, I think beginners still benefit from learning enough to understand system behavior, debugging, and tradeoffs. In our experience, AI accelerates implementation, but understanding why something breaks remains extremely valuable.
But I'll say in 5 years most coding work would be done by agents.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"If you don't know how to code, you can't possibly supervise a coding agent. You'd have no way of knowing if the idioms it used are correct or bolted on from another technology in a weird way. You'd have no idea if there's a better way to do a task using features available in the standard library. You wouldn't know if you're using a hammer for a task that requires a screwdriver.The same goes for learning your second programming language, and the third, and the fourth...",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"Mathematicians don’t skip past the basics and jump straight into differential equations just because we have calculators, nor do chefs eschew knife skills because we have food processors.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,"Colin here, creator of Nub. I’ve had the general shape of this in mind for years. Nub runs your code with stock `node`, augmented with a `--require` preload hook[0] that adds a transpiler (oxc-powered, packaged as a Node-API add-on), registers a module resolution hook[1], and injects polyfills as needed for APIs like `Worker`, `Temporal`, etc. All purely additive, your code ultimately runs using Node’s actual engine & stdlib implementations.[0] https://nodejs.org/api/cli.html#-require-module[1] https://nodejs.org/api/module.html#moduleregisterhooksoption...",technical_insight,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,Respect for embracing existing tech instead of rewriting a worse version of it. Wonder where we would be today if all alternative-building effort went to Node instead (with proper leadership).,opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,Very smart. You can't lose all your customers for vibe-coding a migration to Rust if you are already written in Rust ;),joke_or_meta,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,"> TypeScript-friendly resolution: extensionless imports, tsconfig.json#pathsI’m wondering how that works. Deno has very complicated import resolution, so building my own import resolver to be compatible with it is a bit of a pain. (This is for a custom lint-like tool.)",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,"Just merged a PR migrating our entire monorepo to nub.0 issues, ridiculously fast.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,I didn't even click on the link. I just came to give the author a hat-tip on the project name. Well played.,joke_or_meta,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,Nice.  Can we get `nub --compile` up in there like Bun has?,opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,"Love the idea, learning a lot of interesting things about node hooks by reading docs and some code",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,"Nice, I think this fills a niche. Does it work on cloudflare workers?",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Nub – A Bun-like all-in-one toolkit for Node.js,https://github.com/nubjs/nub,nice ! does this work on docker containers ?,opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: How are you finding work/gigs as a SWE?,https://news.ycombinator.com/item?id=48658086,"Not finding work since I own a business but do employ two highly senior engineers.Each time in an interview for new candidates, I ask how did you find this opportunity?The best ones I hired said they found it through referrals from someone I know. I verified their work and experience by asking a friends of mine, and it certainly increased the likelihood I would hire them.Obviously we still have to give them a take home challenge, but at the first stage, referrals helpfully filter out the time wasters, inexperienced candidates and AI resumes.I think referrals and your network will matter a lot more since AI is being used heavily on both sides, the candidate and recruiter side, neither benefiting any side.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: How are you finding work/gigs as a SWE?,https://news.ycombinator.com/item?id=48658086,"My network has gotten me every job over the past 10 years, and probably will get me the rest of the jobs I'll ever have.  I am fortunate to have gotten into the industry when I did (2013), if I didn't have time to build a network I would genuinely be screwed.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: How are you finding work/gigs as a SWE?,https://news.ycombinator.com/item?id=48658086,"There aren't any, and the fight against bots, spammers and scammers is tiresome",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: How are you finding work/gigs as a SWE?,https://news.ycombinator.com/item?id=48658086,Niche local technology/ai communities seem to be places with a lot of alpha at the moment when it comes to jobs,opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"I'm more of a bitmap font guy (at least, as long as my eyes continue to forgive me for it) but I'm always interested to see what other fonts there are around. It does look quite nice.I must admit when I ran across the second real paragraph from the main page, I couldn't help but only think more and more about how we will look back on marketing copy like this in a decade from now:AI assistants produce both code and prose. MonoLisa Text renders long-form explanations with optimal readability, while MonoLisa Code keeps your code crystal clear. The perfect pairing for the AI era. (Under the title ""A perfect pairing for the AI era."")Ignoring the deep pit of sadness I felt when thinking about the incredibly long (and revolutionary) history of typefaces that led us to today for just a moment, I'm honestly curious how effective this marketing is. How many people would assume a font would be suitable for general text but not LLM-generated text and would need to be dissuaded from that notion? I wonder if someone has started selling keyboards that are ""perfect for prompting"" (but I'm too scared to look at this stage).",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"> MonoLisa ships as a variable font with two axes. Weight gives you every cut from Thin to Black in a single file — no megabytes per style. Grade fine-tunes typographic color by adjusting stroke thickness without changing glyph widthsIf any web page designer reads this, weight 1 and grade -50 is what many web pages look like, or even thinner than that. Weight 300 and grade 0 are the lower boundary of readability IMO.A free (as money) font with most of those properties is Atkinson Hyperlegible Next, both monospace and variable width. https://www.brailleinstitute.org/freefont/",technical_insight,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"Created an account, to come tell you folk, just how much I love Monolisa.
Have been using it every since they launched, in both my terminal, and my code editors.It’s lovely!editing to add:
They even have PPP pricing! Which as someone living in India, I highly appreciate, since it puts a lovely piece of art within reach.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"Looks interesting.> The Licensee may not modify, translate, adapt, alter, decompile, disassemble, decrypt, reverse engineer, change or alter the embedding bits, the font name, legal notices contained in the font software, nor seek to discover the source code of the font data, convert into another font format, create bitmaps, add or subtract any glyphs, symbols or accents, or any other derivative works based on the electronic data in this product.This is why I haven’t bought it. I like to subset fonts to reduce the size. Any font license that prohibits this just gets ignored by me, no matter how good it is.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"I call all these new fonts monofonts, mono in the sense of monoculture. Aesthetics practically indistinguishable from each other. Give me one of the IBM Selectric fonts in a modern form and I'll be happy as a clam.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"Looks decent but $250 AUD for a font? Even for local and personal use? That's... a lot. I was thinking if it is paid and it was around $25 I'd consider it, then I saw the price!",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"Seems there's no way to disable the &lt;= ligature without disabling whitespace ligatures? I'm not all too crazy for real ligatures but whitespace adjustments otherwise seem nice.Also, as it's so finely adjustable, would love if they'd offer some variants for dot and comma, to increase their size, because that's my number one problem with fonts since age 45.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"Bought MonoLisa back in 2022, never even considered switching coding typeface since. Before that time I used to switch every 3-6 months.It's really well balanced easy on the eye.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,Looks good. Won't ever buy a font though.,opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"I adore MonoLisa, thank you for all the effort that's gone into making it and congratulations on the new release!",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,I love this font. I think it is probably the only coding font I have ever actually purchased.,opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: Yahoo deleted all my emails. Now what?,https://news.ycombinator.com/item?id=48655248,"My Yahoo Mail had all my emails from when I was in college on it (back when people used to chat with each other via email, also AIM). I still used it sometimes for collecting junk mail and as a backup address for my gmail, or to reread a few of old college emails once in a blue moon, but otherwise rarely logged in. Apparently it had been a year because I got that same message as you did. What a shock.Never been an issue until then (I must have gone over a year without logging in at some point before then and still was able to log in), and then suddenly 'screw you, a chunk of your past is gone with no way to recover it'.I was so upset when I realized what happened. I'm still annoyed by it. I know I should have exported it all away a long time ago so it's on me, but I didn't think to do so, I had gotten so used to it always being there.A year of inactivity before total deletion is way too short for email, imo.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
Ask HN: Yahoo deleted all my emails. Now what?,https://news.ycombinator.com/item?id=48655248,"Dropbox did this to me with my actual data. I misunderstood it as a service where I could upload some data, uninstall the client, and expect the data to be there as long as the company still exists.",opinion_or_critique,pre-labeled by Claude Code (targeted-joke-pass)
