story_title,story_url,text,label,notes
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"Learning how to code will teach you how to break down problems and think in the way you’ll need to think to use and review code form AI. It will also teach you the language needed… not just the syntax of a programming language, but what is a function, variable, loop, conditional, etc. This will help you better talk to the AI and understand it. Trying to describe a concept you don’t really understand, when there is a simple word that can be used, will save a lot of trouble and headaches.I’d learn as much as you can without the help or use of AI, to build a solid foundation. If AI falls on its face, you’ll be ahead of all those who didn’t do that. If AI ends up being great, you’ll be able to better utilize it if you speak the same language.As far as I see it, there is only upside to learning. Even if you’re not going into the industry, learning to code helps the thinking process in a way I think almost anyone can benefit from.",opinion_or_critique,targeted-joke-pass-2
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"Enough to get through CS101. Databases, networks, operating systems, and all that hardware will certainly be around. Agents can work through them but the trust deficit will still be present(unless something fundamentally changes). So, learn coding but don't get obsessed with it.",opinion_or_critique,targeted-joke-pass-2
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,All of it. AI is magnificent in hands of a skilled coder. And absolutely crap in hands of someone who has no clue how computers work.,opinion_or_critique,targeted-joke-pass-2
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"I see this question as akin to ""do I really need to learn basic flight skills when my A320 has autopilot?"". Yes. Yes, you do. For exactly the same reasons. AI is workload reduction the same way that autopilot is workload reduction when used as intended.",opinion_or_critique,targeted-joke-pass-2
Ask HN: How much coding should beginners learn in the AI era?,https://news.ycombinator.com/item?id=48662310,"You must still learn how to program. LLMs do not actually know or understand anything, and so they insert mistakes all the time. To ensure the code is good, you have to review it, and you can't review it if you don't understand it. If you don't learn how to program, you're going to be setting yourself up for a world of hurt when the LLM starts doing a bunch of stupid stuff but you don't know enough to catch it.Also, you didn't ask but: be careful about going into tech. 5-10 years in the future is probably far enough that we will be able to see how the AI craze impacts jobs, but right now it's a very uncertain career which is at risk of going away because the business people think they can just have AI do everything. They can't, and they will learn that the hard way, but that will be cold comfort if you're out of work in the meantime. So be careful about choosing this field, it's hard to know what the career potential is like right now.",opinion_or_critique,targeted-joke-pass-2
Ask HN: How are you finding work/gigs as a SWE?,https://news.ycombinator.com/item?id=48658086,Assess your LinkedIn profile. I get contacted by multiple recruiters per month. I've had dozens of interviews without sending a single application.,opinion_or_critique,targeted-joke-pass-2
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,Is it possible to get this for free? I know there’s a free option but I don’t understand what the limits are,opinion_or_critique,targeted-joke-pass-2
Show HN: Monolisa v3 – a typeface for developers and creatives,https://www.monolisa.dev/,"Look nice but super expensive for the normal developer. Good luck with the monetization, hope you get some company customers.",opinion_or_critique,targeted-joke-pass-2
Show HN: Pure Effect – Reproduce production bugs on your laptop without a DB,https://pure-effect.org,The concept of developing on a system which does not closely mirror your production environment died with virtualization and containerization over a decade ago. You will experience unforeseen consequences if your development environment does not emulate your production environment as closely as possible.,opinion_or_critique,targeted-joke-pass-2
Show HN: peerd – AI agent harness that runs entirely in your browser,https://github.com/NotASithLord/peerd,"That's cool. Sounds very impressive. What's the point of all this security though?You don't want it to access your files, just give it its own Linux user. You don't even need a container.Better yet, you can give it root on a $3 VPS (or $30 Thinkpad) and get a sysadmin for free :)Although, Cheerpx... that seems to imply your agent can play Java and Flash games. Alright, you might be on to something!",opinion_or_critique,targeted-joke-pass-2
Show HN: peerd – AI agent harness that runs entirely in your browser,https://github.com/NotASithLord/peerd,> The name is always lowercase: peerd.Gotta love it when agent instructions get blurted out in user-facing documentation,joke_or_meta,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,Is there a good reason not to use WebGL to render the scene and compute the character mapping? Even if you're dead set on outputting text to a `&lt;pre>` you could write the ascii values out to a framebuffer and copy from that for a pretty significant speedup.,opinion_or_critique,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,I have a feeling this may be good for making pixel art games on the web,opinion_or_critique,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,"Folks commenting on Hacker News are acting how VC investors are acting in the market now. Everything is doom and gloom for anything that is software.Oh claude can do this, claude can do that. It is written by claude oh it is of no value.No. Creativity matters. Originality matters. Serendipity matters. Execution can use claude, but it is does not displace value.",joke_or_meta,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,"Wow.  Where was this in the 90s when I ""needed"" it.Is there a console version?",opinion_or_critique,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,Cool. I also had similar idea: https://github.com/surenenfiajyan/3d.js . But your one looks richer in features.,opinion_or_critique,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,Nice to see that it renders in pure 7 bit ASCII without using any code page 437 or Unicode characters.,technical_insight,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,"Seeing some of your rendered 3D models in ASCII glyphs reminded me of 3D pixelated video games. It is really cool, but I fail to see its applications.",opinion_or_critique,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,Is it like a filter on top of graphical 3D rendering or is everything rasterized in ascii from the basics?,opinion_or_critique,targeted-joke-pass-2
Show HN: An ASCII 3D Rendering Engine,https://glyphcss.com,I have been looking for a tool like this for so long. Very cool I will def be using for my website,opinion_or_critique,targeted-joke-pass-2
Overfitted a 900KB Transformer to Compress a 100MB CSV into 7MB,https://news.ycombinator.com/item?id=48644463,That’s so awesome! I want to try something similar. I’ve been going crazy with compression work. I reckon I can beat that prize link,opinion_or_critique,targeted-joke-pass-2
Overfitted a 900KB Transformer to Compress a 100MB CSV into 7MB,https://news.ycombinator.com/item?id=48644463,What does it compress the full 1GB file to? http://prize.hutter1.net/,opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"I just ask LLMs questions about things I'm curious about. I don't really want to follow someone else's predefined curriculum. A curriculum is necessary when the information has to be delivered in a lecture, but not in a 1-1 interactive setting.If you type ""I want to learn CUDA programming. Where should I start?"" into Claude, it gives a pretty plausible outline. It's not clear what an app could add to it.",opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,I've found this skill to work well: https://github.com/mattpocock/skills/tree/main/skills/produc...,opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"I use LLMs for structured learning of old economics and philosophy books out of copyright. Is quite useful for me, given that I have no background in either of these areas.",opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"I've used it to teach myself system design in a way that works for me, enabled me to land a new job.Use case doesn't take off because you need to critically assess what it's telling you and push back if it doesn't make sense.",opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"The most vocal crowd that I've heard from so far aren't interested in learning with AI, because it has to do everything and why its so slow GENERATE EVERYTHING.",opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"I honestly just find topics I'm intrested in and ask the LLM. I have multiple long chats running and whenever I have a question about that topic, I continue it. This has honestly given me so much general knowledge, even for the very niche things like subway train software or very useful stuff like giving me tailored advice to improve my sleep.For more complex stuff, like setting up AWS object storage, it can honestly teach you step by step, that is if you're willing to actually absorb the information.",opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"Why do you need an app? I learn using AI, I don't see what needs to be improved (Aside from making it smarter etc. which an app can't do)",opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,Because you don’t need a separate app for thatYou can just do it in the chat interfacePeople do that all the time now,opinion_or_critique,targeted-joke-pass-2
Ask HN: Are people generally interested using LLMs for learning purposes?,https://news.ycombinator.com/item?id=48649857,"You don’t learn anything from LLMs. They are good as a reference, not teaching.They are likely actually worse than other electronic learning (which is already bad) because of how human preference optimized they are, same as eating ultra processed food is easy but not very good for you.",opinion_or_critique,targeted-joke-pass-2
Show HN: Graphical SQL Builder and Debugger,https://github.com/webofmarius/SQLJoiner,"visual SQL builders have been around forever, most feel like they were designed by someone who never writes joins, this one has reverse-engineering from existing SQL which is enough to try it",opinion_or_critique,targeted-joke-pass-2
Show HN: Graphical SQL Builder and Debugger,https://github.com/webofmarius/SQLJoiner,The Microsoft Access query builder is back!,joke_or_meta,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,I'll admit that instagram ads get me every now and then.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"I don't think that is necessarily the point.Its about brand recognition they don't really expect you to click just to know that they exist, and are an option when it comes to decision time.Naturally they have a click to purchase option",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"Nor have I, I’ve never even willing clicked on an ad, but I see countless others do it when I watch over their shoulder.I’ve also seen seemingly normal people argue in favor of user tracking and data harvesting so they could get ads that were more relevant to them. They claimed they genuinely found them useful.",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"What toothpaste do you buy? or shoes, or medicine? Your friends? I've bought Advil and generic Ibuprofen. Same with other known brands of general products.Maybe not always or even mostly but when tired or getting the basics humans tend to go for what they recognize.Especially noticeable when travelling and there are choices we are not used to seeing and we see the one brand we recognize.Making the ads clickable is utilizing the real estate.(scams that rely on you clicking for nefarious purposes are just scammers being scammers, there will always be scams)",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,People do all the time. On Instagram/TikTok/Facebook they've gotten pretty good at hiding whether something is an ad with videos plus very good content creation. Ads are not what they used to be 10 years ago. People not as adept to these shady tactics fall for it all the time.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"I don't think I've bought anything directly from clicking an ad either, but I think just seeing those ads has probably still influenced us subconsciously in some way.",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"Actually I did once. I forgot which ads it was, but it was something I genuinely wanted. But yeah, usually I don't bother with ads and just turns them off.",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,But you definitely have bought an item you have seen in a paid ad LATER.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,I learned about Tile via ads in its early days and then eventually bought it.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"I have bought advertised things, but never through the platform. Like, I discovered The Vegan Butcher, Ohuhu alcohol markers, and a Tatoo convention. All things I would have known also through Google. Is that enough to sustain a 24/7 economy based on ads? What's the real ROI? Who spends that much money buying stuff from socials?",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,I have never performed a religioua ritual yet I see religion everywhere.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,Everyone outside our professional community.Only people who make sausages don’t eat them. Only people who create news don’t trust them.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,I don't think anybody does anymore as sick of seeing ads every where.,opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"This makes me wonder why the AI economy is considered a bubble when we already did an advertising supported internet as a bubble. The whole ad supported internet seemed to have such low drivers of revenue to the advertisers (at least as far as I can tell without people clicking on ads), compared to today's success with AI subscriptions.",opinion_or_critique,targeted-joke-pass-2
Tell HN: I never bought anything from clicking on a paid ad,https://news.ycombinator.com/item?id=48639228,"I do all the time now, buying stuff for my wife!  Sweaters, lingerie, etc. because it's usually from brands she's been browsing and they target me.",opinion_or_critique,targeted-joke-pass-2
Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX,https://tikz.dev/editor/,All STEM students and researches from the world thank you,opinion_or_critique,targeted-joke-pass-2
Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX,https://tikz.dev/editor/,Wow this is awesome!   I’ve been using ChatGPT to create TikZ diagrams because honestly it’s not trivial to create TikZ diagrams and they look really good when done well.   However it can be challenging to get ChatGPT to tweak the diagrams.  My knowledge of TikZ syntax and behavior isn’t always sophisticated enough to get the outcome I want.   So this thing looks like an answer for that.  Looking forward to trying this.Incidentally I am using ChatGPT to create Latex documents for my blog and then they get rendered server side.   The workflow works really well.,opinion_or_critique,targeted-joke-pass-2
Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX,https://tikz.dev/editor/,"I'm running Linux Mint (xfce version), and I installed the .deb version (TikZ.Editor_0.4.0_amd64.deb).  It's very odd...for example, when I open it or do File/New, many (but not all) of the grid cells are rectangles, not squares.  Am I doing something wrong, like installing the wrong version?  Or maybe misinterpreting what the faint grey lines are?",opinion_or_critique,targeted-joke-pass-2
Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX,https://tikz.dev/editor/,"The killer feature for me is not drawing TikZ visually, but being able to touch old TikZ without turning the source into generated-looking soup.",opinion_or_critique,targeted-joke-pass-2
Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX,https://tikz.dev/editor/,"Having made graphics using TikZ, it was tedious and time consuming, but the results look great! Would have loved an easier way to make them.",opinion_or_critique,targeted-joke-pass-2
Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX,https://tikz.dev/editor/,"Wow, awesome project! I gave a look a bit at the code (before realizing this was made with coding agents as said below on the website) and this seems really well made.Still, I would really like to know how you approached this from an architecture perspective. I'm also curious to how much coding agents structured the code like so by themselves or if you had to steer them heavily (I've just tried a bit gemini flash from antigravity cli so I'm a bit behind on this).Also how did you approach the rendering correspondence with actual tikz code? Do you have some tests that like render the tikz using latex and your js pipeline and compare the result for differences?",opinion_or_critique,targeted-joke-pass-2
Ask HN: Is anyone using the A2A protocol?,https://news.ycombinator.com/item?id=48582679,"AI infrastructure/tools developer here (www.hic-ai.com). I considered the A2A protocol carefully, but I decided a while ago that, from my perspective, the A2A protocol was not solving the correct problem. There is no distinction (from the perspective of an agent) between a communication from Agent A to Agent B, on the one hand, and a communication from Agent A to ""future Agent A"", on the other. In fact, agents have no inherent sense of identity at all, so there is no inherent notion of a unique Agent A. The notions like ""Agent A"" received a message or that ""Agent A"" is sending a message to a different agent (or to its future self) are all inextricably intertwined with the idea of an agentic identity existing and being well defined in the first place, which it is not. The A2A protocol assumes the existence of such a well-defined agent identity in its presumption that agent cards point to a specific agent that can be discovered and deployed. I also think gRPC adds a significant layer of indirection and obfuscation, plus it's painful to implement. The lack of widespread adoption suggests that A2A is not really solving a real-world problem, compared to MCP, for instance.",technical_insight,targeted-joke-pass-2
Ask HN: Is anyone using the A2A protocol?,https://news.ycombinator.com/item?id=48582679,"Not to great effect, AFAIK. Laurie Voss (creator of npm) had a good presentation a few months back on all the different agent interaction protocols, and was skeptical whether they (including A2A) added much value. https://youtu.be/kqB_xML1SfA?si=lxehX1-_z_dBoZtQ",opinion_or_critique,targeted-joke-pass-2
Ask HN: Is anyone using the A2A protocol?,https://news.ycombinator.com/item?id=48582679,"Yes! Although I've created a number of open-source A2A packages (https://github.com/a2anet) so I'm a little biased. For a more objective view, I keep an eye on the A2A SDK's monthly downloads (https://pypistats.org/packages/a2a-sdk). They're at ~10.9M compared to MCP's 257M, so MCP is downloaded about 24x more than A2A.A2A is much more popular in enterprise than startups. All of the cloud providers and enterprise orchestration platforms (e.g. Gemini Enterprise, AgentForce, watsonx Orchestrate, SAP Joule) support it. People in enterprise typically make their agents A2A compatible so they can use them on these platforms, share them with other teams, etc.The startups that I have seen use A2A typically use it for at least one of the following reasons:1. To standardise their API endpoints. A2A specifies how to send and receive text, data, and files, so they can write client code once and reuse it with different agent frameworks.
2. To standardise agent cataloging. A2A introduces the concept of an Agent Card which contains information about the agent like its name, description, skills, accepted input, etc.
3. For long-running tasks. A2A was explicitly designed for long-running tasks and supports polling, streaming, and webhooks.Confusingly, none of the above use cases are necessarily agent-to-agent. Turns out to standardise agent-to-agent communication, discovery, and authentication, you need to standardise agent communication, discovery, and authentication.The A2A protocol is a good (not perfect) solution for agent-to-agent communication and it will continue to grow. How much it grows depends on how agents evolve. At the moment companies are building MCP servers for coding agents and chatbots, but not agents themselves. I believe that companies will eventually start building agents to control and improve their customer's experience. If they do this, A2A is the natural choice because it solves all of the problems associated with discovering, connecting, and communicating with agents over the internet.",technical_insight,targeted-joke-pass-2
Ask HN: Is anyone using the A2A protocol?,https://news.ycombinator.com/item?id=48582679,"I am using A2A at work. It's a bit like the ""microservices architecture"" for agents... Allows you or teams to develop agents independently and have them interact as and when they need to. No major hurdles so far.",opinion_or_critique,targeted-joke-pass-2
